symbol,assetType,name,price,changePct,rsi,belowHigh,aboveLow,volume
AAPL,stock,"Apple Inc.",316.27,-0.17675093898936411,44.68610548856257,0.7733651669406972,0.03637494935937656,10078320
MSFT,stock,"Microsoft Corporation",479.953,-0.7130740587505178,30.54908625500933,0.6514191810714508,0.00010112491291561446,3984368
NVDA,stock,"NVIDIA Corporation",217.465,-0.043666115094686,46.68332244301803,0.904532684368344,0.20500598025864433,28613801
TSLA,stock,"Tesla, Inc.",342.985,-2.3168717247664588,53.17832658204418,0.6222796301948762,1.1081432712526784,13787107
AMZN,stock,"Amazon.com, Inc.",260.465,-2.0218928678904606,40.66931570497009,1.154618839938888,0.0000014059890585981813,9359948
META,stock,"Meta Platforms, Inc.",542.84,-0.584216984414765,41.54238408511442,0.881914850343106,-0.000004947216010163149,4184328
GOOGL,stock,"Alphabet Inc.",339.38,-1.5490833139939753,28.221630213843028,1.164891614518327,0.07962450535261165,5045169
AMD,stock,"Advanced Micro Devices, Inc.",465.275,-0.2454869002186953,42.660151086767804,1.737064413938759,0.10650226386745959,6393165
NFLX,stock,"Netflix, Inc.",80.085,-0.1682872101720333,41.42972281973408,1.1601376219396695,0.49566764524091217,8847896
JPM,stock,"JP Morgan Chase & Co.",356.53,-0.20433297878296428,63.643800454581076,0.3215143981574858,0.7146892655367155,1367429
V,stock,"Visa Inc.",368.17,0.7194835038573058,66.90717564310009,0.15999830513074886,1.0983843877248272,1962211
XOM,stock,"ExxonMobil Holdings Corporation",167.915,1.9087212477999524,51.35413729055847,0.24654062053133838,0.42462735036042315,3359844
SPY,stock,"State Street SPDR S&P 500 ETF Trust",766.83,-0.2899643720905917,56.032443691308345,0.14193964663161174,0.181594580131732,11704202
QQQ,stock,"Invesco QQQ Trust",712.2,-0.5418389006814874,48.750044505027795,0.2925951772577856,0.1377783384523558,12460624
DIA,stock,"State Street SPDR Dow Jones Ind",531.23,-0.5690006925337309,68.71622973784271,0.07335975335192449,0.28127190566938076,1324347
IWM,stock,"iShares Russell 2000 ETF",298.89,-0.9379557205356094,58.792809531970164,0.35007082511822785,0.31381029681393985,9104127
XLK,stock,"State Street Technology Select ",183.73,0.04900893051622927,50,0.40114989743930496,0.3057279230511125,2201664
XLF,stock,"State Street Financial Select Sector SPDR ETF",57.525,0.07828810020877124,70.3154258818766,0.1653936069131883,0.5330282642261114,10694453
PLTR,stock,"Palantir Technologies Inc.",174.28,-0.5194360408699107,47.23255110156032,0.8928098089410508,0.973345212674449,9751212
SOFI,stock,"SoFi Technologies, Inc.",17.91,-2.7687296416938194,36.84210526315789,3.556713286066868,0.13978065864261485,21364854
COIN,stock,"Coinbase Global, Inc.",173.69,8.420724094881404,76.43868365021852,0.0000014056112717813664,3.3407723657355892,8659158
HOOD,stock,"Robinhood Markets, Inc.",95.29,-0.5012007935679125,42.38102491335241,2.785142559234632,0.48507662138911795,11886040
RIVN,stock,"Rivian Automotive, Inc.",15.895,1.0489510489510434,76.83661560513367,0.0000028799223599753843,2.120144095812255,4902900
LCID,stock,"Lucid Group, Inc.",5.835,-1.4358108108108103,54.638203946946454,2.0973160628676193,0.6034449674854612,1165170
F,stock,"Ford Motor Company",14.04,-3.172413793103454,74.6344392648373,0.9838120514655317,1.4084487483584445,16869862
GM,stock,"General Motors Company",85.42,0.5414312617702542,86.00013563460038,-0.0000021435901761362805,1.9331705122273355,1082291
BAC,stock,"Bank of America Corporation",62.95,-0.34826658223840246,52.427141317511634,0.41132587919388436,0.2947512342078931,7164394
WFC,stock,"Wells Fargo & Company",85.19,-0.8727018850360717,52.51697719519454,0.34042980084372454,0.3179484654692599,2145227
GS,stock,"Goldman Sachs Group, Inc. (The)",1015.02,-0.6489502275730432,49.9267578125,1.0050424658150743,0.4314039312255635,418915
MS,stock,"Morgan Stanley",212.403,-0.8528217336507484,46.931533516203544,0.95915632261061,0.37948670761925146,797822
PYPL,stock,"PayPal Holdings, Inc.",61.94,1.1265306122448941,73.35746505541015,0.05647192413519839,1.2927304003905147,2089002
SHOP,stock,"Shopify Inc.",145.18,-0.9551098376313315,55.18616967311244,0.8130048212645994,0.5227605555054929,1104623
CRM,stock,"Salesforce, Inc.",206.945,0.41486729098936864,61.68149246355325,0.22496611656930435,1.8054390425339426,2241616
ORCL,stock,"Oracle Corporation",142.2,-1.119532716779093,47.876343241374975,2.204187480625475,0.2149446551010428,4891347
AVGO,stock,"Broadcom Inc.",364.56,0.5738247627455264,51.391223869444865,0.47501715832766606,0.4934286298585373,5873964
MU,stock,"Micron Technology, Inc.",957.315,2.15664199849537,54.194081137955834,0.47355621241023294,2.268600848160499,11822078
INTC,stock,"Intel Corporation",91.833,-1.0420258620689642,59.536751236706785,0.22544079326707253,1.8104247306070833,40289737
TSM,stock,"Taiwan Semiconductor Manufacturing Company Limited",415.45,0.8153558688636011,50.62920337476823,0.5529513863524159,0.5725234743075995,3347277
ASML,stock,"ASML Holding N.V.",1763.82,0.6901748557140608,54.04608228061804,0.4824046412849731,0.7197879429829407,351600
