symbol,assetType,name,price,changePct,rsi,belowHigh,aboveLow,volume
AAPL,stock,"Apple Inc.",301.183,-1.2223279000360867,26.306191805045174,0.792844417446379,0.11234980735109779,14942827
MSFT,stock,"Microsoft Corporation",492.58,-2.2290149064131355,28.688778828355595,1.330075158140073,0.03655688581374174,10798393
NVDA,stock,"NVIDIA Corporation",223.41,2.717241379310343,37.0002238183409,0.6227470191706499,1.1300812755430079,54965585
TSLA,stock,"Tesla, Inc.",326.471,-1.9046903638712773,66.51507645379095,1.263280021161688,0.7999861300869708,16047731
AMZN,stock,"Amazon.com, Inc.",267.74,-1.6637896205971912,13.207217787370453,1.5842631819004753,0.0000036474286118208513,13397744
META,stock,"Meta Platforms, Inc.",581.909,-2.8727133128588616,23.15116900520887,3.0365312981372323,0.09271288290408657,6202546
GOOGL,stock,"Alphabet Inc.",341.17,-0.7649796393251876,32.19430067967825,0.7982528288730417,0.043988913014165514,10353925
AMD,stock,"Advanced Micro Devices, Inc.",487.16,2.707033226513753,46.91959092386813,0.7851113577855928,0.9577893492935555,10030639
NFLX,stock,"Netflix, Inc.",73.69,-1.4707848642866805,48.666707346839154,0.8476852763874477,0.0271505790034304,8020543
JPM,stock,"JPMorgan Chase & Co.",364.87,0.7816815821456148,52.65943056261972,0.16010410820398946,0.6926853819144193,1475041
V,stock,"Visa Inc.",358.81,-1.1052312441430987,45.53447642521122,1.132484645560273,0.1032244046628795,1274337
XOM,stock,"ExxonMobil Holdings Corporation",159.1,-0.4380475594493223,64.78260292693282,0.08478073905492362,0.7707585956816352,3153730
SPY,stock,"State Street SPDR S&P 500 ETF Trust",772.14,0.20504568106312826,54.99932197260769,0.1809832803876461,0.05896219867507379,13192736
QQQ,stock,"Invesco QQQ Trust",723.72,0.7335235576588464,50.22732012513034,0.3600297236878478,0.08089640613094203,15956019
DIA,stock,"State Street SPDR Dow Jones Industrial Average ETF Trust",537.62,0.06328171530673612,66.98015431269434,0.13494962568601848,0.12291008647518321,1747456
IWM,stock,"iShares Russell 2000 ETF",302.325,0.4435363301106281,82.53394249552008,0.2573401818036323,0.40850853528294634,7147643
XLK,stock,"State Street Technology Select Sector SPDR ETF",188.8,1.4562845934762791,51.11106087664173,0.3246803621315152,0.19104094349908501,2862827
XLF,stock,"State Street Financial Select Sector SPDR ETF",57.805,0.008650519031146294,60.34543995580053,0.12095032397408258,0.18197441191021146,8590983
PLTR,stock,"Palantir Technologies Inc.",170.35,-2.6237567165885465,70.44401210108686,1.146088485836668,1.061937866239002,17990476
SOFI,stock,"SoFi Technologies, Inc.",17.83,-0.8342602892102454,77.81277538805176,2.2478057909154874,0.8387216685366067,17760896
COIN,stock,"Coinbase Global, Inc.",148.47,-0.07403419033518215,57.9867449385994,1.237279191378587,0.5621786872005065,2591150
HOOD,stock,"Robinhood Markets, Inc.",94.44,0.06357279084552053,72.27227356428656,0.5633045356319464,1.0323632432538292,6377238
RIVN,stock,"Rivian Automotive, Inc.",16.014,-2.1149144254278736,56.84380032206119,2.8276672037643324,0.7486602001210007,6879565
LCID,stock,"Lucid Group, Inc.",6.505,-2.910447761194034,65.59374784365326,3.1273290813993335,2.199532347465292,3461754
F,stock,"Ford Motor Company",13.855,-0.8941344778254648,46.56111030945416,0.8586789137325656,0.4342106036337835,16153627
GM,stock,"General Motors Company",87.743,-1.798545047565752,78.42023330570325,1.011957802149078,0.8424294285407333,1572036
BAC,stock,"Bank of America Corporation",64.625,0.9765625,71.15048630504464,0.10819954425290604,0.9844535957970673,12209289
